"0","Cave 1","Crystals, Cave Plants, Cross-Section"
"1","Forest 1","Palm Trees, Cross-Section"
"2","Submarine Area","Rocks, Flowers, Logs, Water"
"3","Pseudo 3D-Room","Moving Bricks, wavy Lava, Hookbill the Koopa's Room Stones"
"4","Snow","Rocks, Ski Lifts, Conifers/Icy Water"
"5","Jungle","Muddy Ground, Vines, Tree Covers, Jungle Rocks"
"6","Castle 1","Brick Castle, Walls, Spikes, Destructible Blocks"
"7","Grass 1","Bushes, Cross-Section"
"8","Lava/Ice Cave","Lava, Icy Floor, Icicles, Crystals, Giant Mushrooms"
"9","Forest 2","Number Platforms, Trees, Flowers"
"A","Castle 2","Wooden Castle, Walls, Spikes, Destructible Blocks"
"B","Sewer","Flowing Water/Pipe and Stone Ground"
"C","Flower Garden","Tulip Ground, Giant Rocks"
"D","Sky","Giant Clouds, Logs, Snow-capped Platforms"
"E","Castle 3","Jungle Castle, Walls, Spikes, Destructible Blocks"
"F","Grass 2","Trees, Rocks, Special Line Guides, Falling Rocks, Raven Platforms"
