"00","Animated Waterfalls/Lavafalls","Waterfalls in Cave-themed Environment"
"01","Bald Forest","Bals Forest Trees with Scrub underneath"
"02","Submarine Area","Jungle Plants and underwater Rocks"
"03","3D-Castle Bricks","Brick Background used in Pseudo-3D Rooms in Castles. Requires BG 1 Tileset 0x03"
"04","Hills with Pine Forest","Huge Hills with a Pine Forest underneath and Grass on the bottom"
"05","Pine Forest","Pine Forest with Clouds and Parallax Effects"
"06","Animated Castle Waterfalls","Waterfalls and Candles in a Castle Environment, Sewer-themed"
"07","Palm Tree Hills","Huge Hills with Palm Trees on top of them"
"08","Forest Trees","Large Forest Trees with Flowers in the treetops and Grass on the ground"
"09","Jungle Hills","Jungle Hills with Jungle underneath (see 0x10)"
"0A","Animated Jungle Waterfall","Waterfall for Jungle-themed Environments with Bushes behind them"
"0B","Background-Forest","Cross-Section Ground Background with Palm Trees and Logs (optional Animated Clouds)"
"0C","Forest","Forest with Leaf Canopy, Vines and Jungle Plants underneath"
"0D","Night Sky with Moon","More like, Moons"
"0E","Painted Hills","Painted Hills, suitable for Chomps"
"0F","Volcanoes","Volcanoes with Jungle underneath (optional Animated Clouds)"
"10","Jungle Hills","Jungle Hills with Jungle underneath (see 0x09)"
"11","(Glitchy)","Do not use"
"12","Skyview Ocean","Ocean Background from far above with Islands and Clouds"
"13","(Animated) Crystal Cave","Optionally Animated shiny Crystals for a Cave-themed Environment"
"14","Wooden Castle","Wooden Castle Walls with Windows and Spider Webs"
"15","Mountains and Clouds (Low)","Steep Mountains with huge Clouds around them (smaller than 0x1A)"
"16","(Glitchy)","Do not use"
"17","(Glitchy)","Do not use"
"18","Cave Windows","Dark Cave with Windows, Leaves, Hills, Lamp Flowers and a Forest on top"
"19","Brick Castle","Brick Castle with Battlements on top"
"1A","Mountains and Clouds (Tall)","Steep Mountains with huge Clouds around them (taller than 0x15)"
"1B","Blank","In case you do not need or want a Background Image"
"1C","Friend Hills with Palm Trees","Smiling Hills with Palm Trees in between them"
"1D","Chocolate Mountains","Chocolate Mountains (optional Animated Clouds)"
"1E","Huge Pine Tree Forest","A Forest of Huge Pine Trees"
"1F","Baby Bowser's Room","With Toys, Doodles and Windows, only suitable for Baby Bowser's Room"
